Frequency,Ch1,Ch2,dPhase,Res[Om],Impedence
105.8,40,10,97.8,40200.2,160800.8
143.7,39.6,14,98,40200.2,113709.1371
209.2,38.4,18.8,98.9,40200.2,82111.04681
300.3,36,23.6,97.7,40200.2,61322.33898
400,33.6,28,97.9,40200.2,48240.24
600.2,27.2,32.8,98.8,40200.2,33336.75122
901.7,20.8,36.8,98,40200.2,22721.85217
1294,16,38.8,98,40200.2,16577.40206
1818,12,39.6,100,40200.2,12181.87879
2608,30.8,29.6,97,7030.2,7315.208108
3828,25.6,34.6,96.3,7030.2,5201.53526
5000,21.4,37,97.2,7030.2,4066.115676
7996,14.8,39.2,99,7030.2,2654.259184
11060,11.4,40.2,99.7,7030.2,1993.638806
16130,8.2,40.2,102,7030.2,1434.020896
23140,28.6,33.4,97.7,990,847.7245509
34250,22.2,37,97.2,990,594
48080,17,38.6,98.3,990,436.0103627
70420,12.4,39.2,98.9,990,313.1632653
100200,9,39,102,990,228.4615385
