Frequency,Ch1,Ch2,dPhase,Res[Om],Impedence
9,37.6,10.8,-71.3,43699.1,152137.6074
12.07,37.2,13.2,-73,43699.1,123152.0091
16.775,26.8,18.4,-77.7,43699.1,63648.68913
24.46,34,24.8,-80.7,43699.1,59910.05645
29.123,32,25.6,81.9,43699.1,54623.875
37.77,31.2,31.2,-85.8,43699.1,43699.1
44.496,27.2,32,-81.2,43699.1,37144.235
51.873,25.6,34,-82.9,43699.1,32902.85176
80.258,18.4,37.6,-83.6,43699.1,21384.66596
130.02,13.6,41.2,-83.5,43699.1,14424.94563
218,9.6,41.6,-75,43699.1,10084.40769
294.7,29.6,30.4,-85.8,10100.1,9834.307895
510.2,21.4,36.2,-86,10100.1,5970.777348
907.75,13.4,39,-85.2,10100.1,3470.290769
1405.3,21.6,35.6,-83,3581.7,2173.166292
2201,15,38,-82,3581.7,1413.828947
3607.8,26.4,31.6,-79.5,990,827.0886076
6039,18.4,35.2,-75.2,990,517.5
9046,13.6,36.4,-70,990,369.8901099
15175,26.8,24.4,-59,200.9,220.6606557
24100,21.6,26.2,-47.3,200.9,165.6274809
38083,18,27.2,-34.8,200.9,132.9485294
60977,15.8,27,-22.8,200.9,117.5637037
100802,14.4,26.6,-13.8,200.9,108.7578947
